id,abnormal,duration,"uid",round_1_kurt,round_2_kurt,round_3_kurt,round_4_kurt,round_5_kurt,round_6_kurt,round_7_kurt,round_8_kurt,round_9_kurt,round_10_kurt,lang,"startdate","enddate",age,"trainedhearing","gender","useragent","order_list_s",1_order,2_order,3_order,4_order,5_order,6_order,7_order,8_order,1_cnt,2_cnt,3_cnt,4_cnt,5_cnt,6_cnt,7_cnt,8_cnt,9_cnt,10_cnt,1_time,2_time,3_time,4_time,5_time,6_time,7_time,8_time,9_time,10_time,round,"comment"
1,NULL,1672,"c17cf3d4-daac-4519-96ab-1bbf9112f525",2.5,1.5,1,3.5,1.125,1.375,1.75,1.6675,NULL,NULL,1,"2021-04-06T14:45:16.817","2021-04-07T16:37:41.453",22,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","1,2,3,4,5,6,7,8",1,2,3,4,5,6,7,8,31,31,37,30,46,32,27,45,NULL,NULL,10.74,11.47,9.07,8.06,11.32,8.53,6.11,11.5,NULL,NULL,8,"Valentin
"
2,NULL,196,"5c82518d-39aa-4e22-b8b6-389bacf8ce08",3.25,1.375,0.5625,0.75,0.375,1.5,1.3125,3.6675,NULL,NULL,1,"2021-04-07T08:42:25.042","2021-04-07T09:58:29.879",26,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:87.0) Gecko/20100101 Firefox/87.0","1,2,3,4,5,6,7,8",1,2,3,4,5,6,7,8,26,30,37,31,38,32,39,32,NULL,NULL,6.47,6.78,9.43,8.84,9.19,7.79,9.68,7.12,NULL,NULL,8,"Patrick
"
3,NULL,679,"064e98a1-bea1-47f9-8f56-e9b910719c21",3.25,4.5,3,1.875,2.75,7.5,2.75,NULL,NULL,NULL,1,"2021-04-10T11:50:59.044","2021-04-10T21:09:57.641",52,"no","female","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36 Edg/89.0.774.75","7,1,6,3,2,5,4",2,5,4,7,6,3,1,NULL,31,40,27,34,25,23,41,39,NULL,NULL,15.86,13.95,12.07,11.17,6.85,9.95,17.77,12.61,NULL,NULL,8,"Valentins Mama
"
4,NULL,233,"6b93ddd6-c5c2-4b1d-a6b8-d56d1a426c7f",6,1.75,2.5,2.5,2.375,6.25,3.25,2.6675,NULL,NULL,1,"2021-04-12T19:12:35.822","2021-04-12T21:05:28.726",54,"no","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36","1,3,6,4,2,5,7,8",1,5,2,4,6,3,7,8,34,37,25,23,30,26,34,29,NULL,NULL,13.98,15.55,9.1,8.84,13.29,13.59,13.44,14.05,NULL,NULL,8,"Patricks Papa
"
10,NULL,71,"1e453509-6759-4fd0-a54b-ab7fd158508d",NULL,3,NULL,NULL,NULL,4.75,NULL,NULL,NULL,NULL,1,"2021-04-15T21:18:19.629",NULL,21,"no","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36","2,6",NULL,1,NULL,NULL,NULL,2,NULL,NULL,NULL,33,NULL,29,NULL,32,NULL,32,NULL,NULL,NULL,11.13,NULL,15.45,NULL,10.95,NULL,10.08,NULL,NULL,8,NULL
17,NULL,NULL,"a2e6e8d4-e714-4e58-91ca-c9543b0ddd4a",4.25,1.5,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,1,"2021-04-16T11:03:01.056",NULL,21,"no","male","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36","1,2,6",1,2,NULL,NULL,NULL,3,NULL,NULL,26,47,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,9.11,20.08,NULL,NULL,NULL,6.59,NULL,NULL,NULL,NULL,6,NULL
19,NULL,43,"c9d22741-e451-4368-9fd0-56ed262e57f5",NULL,NULL,NULL,5.25,2.0625,NULL,NULL,NULL,NULL,NULL,1,"2021-04-16T12:09:31.620",NULL,25,"no","male","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1","4,5",NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,28,NULL,51,31,35,NULL,NULL,NULL,NULL,NULL,6.22,NULL,14.5,8.32,10.35,NULL,NULL,NULL,NULL,6,NULL
20,NULL,95,"2bb9371b-3d43-4207-9049-095c129d16b3",NULL,NULL,NULL,NULL,3.25,NULL,NULL,NULL,NULL,NULL,1,"2021-04-16T12:10:27.580",NULL,23,"no","male","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0","5",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,35,NULL,27,NULL,34,48,NULL,NULL,NULL,NULL,10.34,NULL,7.18,NULL,8.81,12.15,NULL,NULL,NULL,NULL,5,NULL
24,NULL,114,"a29ff627-c18e-41f7-b295-1d88b18ebafc",NULL,NULL,0.5,NULL,0.6875,NULL,NULL,8,NULL,NULL,1,"2021-04-16T13:37:29.295","2021-04-16T15:31:05.465",20,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36","5,3,8",NULL,NULL,2,NULL,1,NULL,NULL,3,NULL,NULL,32,28,35,NULL,NULL,28,NULL,NULL,NULL,NULL,8.77,10.26,13.23,NULL,NULL,11.44,NULL,NULL,8,NULL
25,NULL,NULL,"3a24594d-477c-45e5-9c8a-2a0e582b04f6",NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"2021-04-16T08:22:28.824",NULL,17,"no","female","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.163 Mobile/15E148 Safari/604.1","2",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
26,NULL,23077,"edb54120-7daa-487e-8c52-61221e41a0ef",NULL,NULL,1.0625,2.625,NULL,NULL,2.25,2.9975,NULL,NULL,1,"2021-04-16T17:56:42.366","2021-05-02T18:33:36.356",23,"yes","female","Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G970F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.2 Chrome/71.0.3578.99 Mobile Safari/537.36","4,3,7,8",NULL,NULL,2,1,NULL,NULL,3,4,NULL,NULL,33,31,NULL,NULL,34,36,NULL,NULL,NULL,NULL,9.56,15.05,NULL,NULL,9.05,9.75,NULL,NULL,8,NULL
27,NULL,53,"3ab82fac-03e4-472f-adcb-f1c7479f53b2",3.75,1.5,1.5,NULL,2.5,NULL,NULL,NULL,NULL,NULL,1,"2021-04-16T18:24:40.940","2021-04-16T19:17:17.766",55,"no","male","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:87.0) Gecko/20100101 Firefox/87.0","5,3,2,1",4,3,2,NULL,1,NULL,NULL,NULL,30,42,29,NULL,32,NULL,NULL,NULL,NULL,NULL,11.21,14.54,9.12,NULL,11.62,NULL,NULL,NULL,NULL,NULL,1,NULL
28,NULL,NULL,"832552fc-563a-4d1f-96c0-c4ca3fa84254",NULL,2.33333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2021-04-16T19:52:15.846",NULL,35,"no","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0","2",NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,NULL,99,"671ef4f6-1c10-4eb6-8cc5-8cff83be18df",2.75,NULL,7,NULL,NULL,1.625,0.75,NULL,NULL,NULL,1,"2021-04-16T20:16:43.442","2021-04-16T21:55:41.905",68,"no","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0","7,1,3,6",2,NULL,3,NULL,NULL,4,1,NULL,37,NULL,39,NULL,NULL,32,29,NULL,NULL,NULL,22.34,NULL,21.73,NULL,NULL,18.08,15.92,NULL,NULL,NULL,6,NULL
30,NULL,50,"d465c90b-f696-4f39-a7cc-fa54d12a3e18",1.75,2.75,NULL,5.25,NULL,NULL,NULL,3.3325,NULL,NULL,1,"2021-04-16T20:28:10.954","2021-04-16T21:18:02.052",24,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36","4,2,1,8",3,2,NULL,1,NULL,NULL,NULL,4,25,38,NULL,24,NULL,NULL,NULL,29,NULL,NULL,9.36,14.58,NULL,9.35,NULL,NULL,NULL,10.14,NULL,NULL,8,NULL
32,NULL,50,"072884c1-b5ec-4a95-b677-49cbf60a01ab",NULL,1.5,NULL,4.5,NULL,7,NULL,2.3325,NULL,NULL,1,"2021-04-16T22:06:54.648","2021-04-16T22:56:27.145",28,"no","female","Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Mobile/15E148 Safari/604.1","4,2,6,8",NULL,2,NULL,1,NULL,3,NULL,4,NULL,29,NULL,31,NULL,31,NULL,29,NULL,NULL,NULL,10.36,NULL,9.41,NULL,8.97,NULL,8.78,NULL,NULL,8,NULL
33,NULL,NULL,"cc90c773-18cb-4b7d-b14c-5a467c30ffa5",NULL,NULL,1,NULL,NULL,NULL,1.3125,NULL,NULL,NULL,1,"2021-04-16T22:39:23.258",NULL,23,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0","7,3",NULL,NULL,2,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.64,NULL,NULL,NULL,7,NULL
34,NULL,NULL,"195429a8-3bbb-46cb-b9c5-e1ed672ca09c",NULL,4.75,NULL,NULL,2.625,NULL,NULL,NULL,NULL,NULL,0,"2021-04-16T18:19:44.148",NULL,20,"no","male","Mozilla/5.0 (Linux; Android 11; SM-A516U Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36","2,5",NULL,1,NULL,NULL,2,NULL,NULL,NULL,NULL,39,NULL,NULL,30,37,NULL,31,NULL,NULL,NULL,9.96,NULL,NULL,8.35,9.97,NULL,10.59,NULL,NULL,8,NULL
37,NULL,62,"604a21fa-8d8c-47d4-a56f-21840ce397a7",NULL,NULL,NULL,1.75,NULL,NULL,NULL,1.335,NULL,NULL,1,"2021-04-17T13:43:05.046","2021-04-17T14:45:11.750",21,"no","female","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36 Edg/89.0.774.76","4,8",NULL,NULL,NULL,1,NULL,NULL,NULL,2,25,NULL,NULL,35,NULL,31,NULL,31,NULL,NULL,8.52,NULL,NULL,11.87,NULL,10.46,NULL,7.75,NULL,NULL,8,NULL
38,NULL,73,"41de0224-2308-4e06-a9a4-6919b0d9d50a",NULL,NULL,NULL,4.25,NULL,NULL,3.75,6,NULL,NULL,1,"2021-04-17T14:54:09.451",NULL,23,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","4,7,8",NULL,NULL,NULL,1,NULL,NULL,2,3,40,NULL,NULL,25,NULL,NULL,32,36,NULL,NULL,10.31,NULL,NULL,7.01,NULL,NULL,7.71,9.36,NULL,NULL,8,NULL
39,NULL,NULL,"f3eb8df3-05b5-4aef-b8dd-f81072757fd2",NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,"2021-04-17T15:09:07.599",NULL,24,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36","4",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.19,NULL,11.19,NULL,NULL,NULL,NULL,4,NULL
41,NULL,53,"11fb86ec-967f-447c-99ef-18c4ff40b15b",2,1.25,NULL,NULL,NULL,4.25,NULL,1.335,NULL,NULL,1,"2021-04-18T10:32:23.555","2021-04-18T11:25:00.172",23,"no","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 Edg/89.0.774.77","6,2,1,8",3,2,NULL,NULL,NULL,1,NULL,4,27,37,NULL,NULL,NULL,34,NULL,31,NULL,NULL,9.55,12.8,NULL,NULL,NULL,12.05,NULL,9.23,NULL,NULL,8,NULL
42,NULL,53,"ad601852-160b-4960-9c64-3ddf18ef9f56",2,NULL,NULL,3.75,NULL,NULL,NULL,9,NULL,NULL,1,"2021-04-18T11:06:28.916","2021-04-18T11:59:27.777",24,"no","female","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","1,4,8",1,NULL,NULL,2,NULL,NULL,NULL,3,34,NULL,53,21,NULL,NULL,NULL,37,NULL,NULL,10.41,NULL,11.98,7.02,NULL,NULL,NULL,8.55,NULL,NULL,8,NULL
45,NULL,59,"cc6abf3b-e8a5-4655-9718-c61c2f0cf371",NULL,NULL,NULL,1.75,8.75,6.5,NULL,2.665,NULL,NULL,1,"2021-04-18T11:37:39.688","2021-04-18T12:36:41.053",28,"no","female","Mozilla/5.0 (Linux; Android 8.0.0; SM-A320FL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36","5,6,4,8",NULL,NULL,NULL,3,1,2,NULL,4,NULL,NULL,NULL,25,31,30,NULL,27,NULL,NULL,NULL,NULL,NULL,14.79,11.05,11.87,NULL,7.15,NULL,NULL,8,NULL
49,NULL,37,"de5a66ae-4b2e-4977-88ae-512b7653429f",NULL,NULL,6,6.25,NULL,4.75,4.5,NULL,NULL,NULL,1,"2021-04-18T12:37:53.886","2021-04-18T13:15:22.023",40,"no","female","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36 Edg/88.0.705.56","4,3,7,6",NULL,NULL,2,1,NULL,4,3,NULL,NULL,NULL,34,29,NULL,30,27,NULL,NULL,NULL,NULL,NULL,8.63,9.49,NULL,7.2,6.31,NULL,NULL,NULL,6,NULL
